ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
370,R1,CAP canal above Waddell Canal,cap,cap-siphon,10/17/2000,,,2.911,2.92,0.041,1.42,45.6,447.48,44.82,42.75,25.04,1.789936102,
371,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/17/2000,,,3.058,2.91,0.04,1.38,42.21,446.17,42.03,39.6,23.81,1.765224696,
372,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/17/2000,,,3.041,3.02,0.041,1.34,42.23,446.81,41.53,39.62,23.41,1.774028193,
373,R3,Waddell Canal,cap,waddell canal,10/17/2000,,,3.067,2.97,0.04,1.35,41.76,447.37,41.3,39.07,23.08,1.789428076,
374,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/19/2000,,,2.843,2.81,0.041,1.45,40.21,450.34,40.18,37.87,22.28,1.803411131,
375,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,10/19/2000,,,2.895,2.82,0.04,1.43,43.57,446.56,42.51,42.24,23.82,1.784634761,
376,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/17/2000,,,1.16,0.77,0.021,2.7,40.53,450.96,40.4,38.42,24.34,1.659819228,
377,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/17/2000,,,3.66,1.84,0.039,2.1,61.78,450.57,61.68,58.69,35.81,1.722423904,
378,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/17/2000,,,1.743,1.72,0.038,2.2,62.94,452.11,62.55,60.45,37.52,1.667110874,
379,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/17/2000,,,1.663,1.58,0.035,2.21,57,450.22,56.99,55.25,34.61,1.646633921,
380,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/18/2000,,,2.919,2.87,0.054,1.87,77.63,445.26,77.38,73.51,44.9,1.723385301,
381,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/18/2000,,,2.999,3.05,0.054,1.75,77.1,447.12,77.01,73.54,44.03,1.749034749,
382,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,10/18/2000,,,3.053,2.92,0.054,1.85,76.14,445.33,75.05,71.72,43.23,1.736062919,
383,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/18/2000,,,3.098,3.02,0.055,1.81,81.31,445.08,80.47,76.73,46.45,1.732400431,
384,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/18/2000,,,3,2.93,0.053,1.81,80.58,443.2,80.09,76.4,46.62,1.717932218,
385,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/18/2000,,,2.965,3.05,0.039,1.29,43.44,450.52,43.4,40.88,24.04,1.805324459,
386,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/18/2000,,,2.823,2.58,0.049,1.92,73.3,450.88,73.2,69.41,42.94,1.704704238,
387,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/18/2000,,,2.869,2.77,0.046,1.66,56.03,446.44,55.43,53.42,32,1.7321875,
388,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/19/2000,,,3.076,2.82,0.047,1.67,56.7,449.02,56.62,52.78,31.85,1.777708006,
389,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/19/2000,,,2.7,2.69,0.028,1.04,34.63,444.58,33.45,30.84,16.95,1.973451327,
390,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/19/2000,,,2.818,2.7,0.046,1.7,55.2,447.66,54.99,52.3,30.75,1.788292683,
