ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,DOC,UVA,SUVA,TDN,E. coli,Coliform,Mycobacterium,Season,Year
12268,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/1/2021,,,,,,,4,Winter,2021
12269,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,1/1/2021,,,,,,,13,Winter,2021
12263,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/1/2021,4.4,0.015,0.3,0.331,154,55,89,Winter,2021
12266,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/1/2021,,,,,,,53,Winter,2021
12267,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/1/2021,,,,,,,8,Winter,2021
12271,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/1/2021,,,,,,,16,Winter,2021
12270,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/1/2021,,,,,,,0,Winter,2021
12234,R25,verde river at beeline highway,verde,verde @ beeline,1/1/2021,1.2,,,,,,8,Winter,2021
12258,R3,Waddell Canal,cap,waddell canal,1/1/2021,4.2,0.034,0.8,0.32,123,211,,Winter,2021
12274,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,1/1/2021,3.6,0.093,2.6,0.332,269,223,18,Winter,2021
12218,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/1/2020,4.08,0.075,1.84,1.754,,,,Fall,2020
12219,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,11/1/2020,4.21,0.101,2.4,1.752,230,650,,Fall,2020
12213,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/1/2020,3.79,0.028,0.74,1.706,120,320,21,Fall,2020
12216,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/1/2020,3.91,0.052,1.33,1.728,100,400,,Fall,2020
12217,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/1/2020,4.09,0.062,1.52,1.729,163,,,Fall,2020
12221,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/1/2020,4.11,0.064,1.56,1.711,,,,Fall,2020
