N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year
9336,GR IN,Greenway WTP Inlet,srp,Green In,6/6/2016,6/6/2016,,,,,,,,,2016,,2016-20
9361,GR IN,Greenway WTP Inlet,srp,Green In,6/6/2016,6/6/2016,,,,,,,,,2016,,2016-20
9386,GR IN,Greenway WTP Inlet,srp,Green In,7/11/2016,7/11/2016,,,,,,,,,2016,,2016-20
9411,GR IN,Greenway WTP Inlet,srp,Green In,7/11/2016,7/11/2016,,,,,,,,,2016,,2016-20
9436,GR IN,Greenway WTP Inlet,srp,Green In,8/1/2016,8/1/2016,,,,,,,,,2016,,2016-20
9461,GR IN,Greenway WTP Inlet,srp,Green In,8/1/2016,8/1/2016,,,,,,,,,2016,,2016-20
9486,GR IN,Greenway WTP Inlet,srp,Green In,9/12/2016,9/12/2016,,,,,,,,,2016,,2016-20
9511,GR IN,Greenway WTP Inlet,srp,Green In,9/12/2016,9/12/2016,,,,,,,,,2016,,2016-20
9536,GR IN,Greenway WTP Inlet,srp,Green In,10/24/2016,10/24/2016,,,,,,,,,2016,,2016-20
9561,GR IN,Greenway WTP Inlet,srp,Green In,10/24/2016,10/24/2016,,,,,,,,,2016,,2016-20
9586,GR IN,Greenway WTP Inlet,srp,Green In,11/7/2016,11/7/2016,,,,,,,,,2016,,2016-20
9611,GR IN,Greenway WTP Inlet,srp,Green In,11/7/2016,11/7/2016,,,,,,,,,2016,,2016-20
9636,GR IN,Greenway WTP Inlet,srp,Green In,12/5/2016,12/5/2016,,,,,,,,,2016,,2016-20
9661,GR IN,Greenway WTP Inlet,srp,Green In,12/5/2016,12/5/2016,,,,,,,,,2016,,2016-20
9686,GR IN,Greenway WTP Inlet,srp,Green In,1/2/2017,1/2/2017,,,,,,,,,2017,,2016-20
9711,GR IN,Greenway WTP Inlet,srp,Green In,1/2/2017,1/2/2017,,,,,,,,,2017,,2016-20
9736,GR IN,Greenway WTP Inlet,srp,Green In,2/6/2017,2/6/2017,,,,,,,,,2017,,2016-20
9761,GR IN,Greenway WTP Inlet,srp,Green In,2/6/2017,2/6/2017,,,,,,,,,2017,,2016-20
9786,GR IN,Greenway WTP Inlet,srp,Green In,3/6/2017,3/6/2017,,,,,,,,,2017,,2016-20
9811,GR IN,Greenway WTP Inlet,srp,Green In,3/6/2017,3/6/2017,,,,,,,,,2017,,2016-20
9836,GR IN,Greenway WTP Inlet,srp,Green In,4/3/2017,4/3/2017,,,,,,,,,2017,,2016-20
9861,GR IN,Greenway WTP Inlet,srp,Green In,4/3/2017,4/3/2017,,,,,,,,,2017,,2016-20
9886,GR IN,Greenway WTP Inlet,srp,Green In,5/1/2017,5/1/2017,,,0.7,,,,,,2017,,2016-20
9911,GR IN,Greenway WTP Inlet,srp,Green In,5/1/2017,5/1/2017,,,0.7,,,,,,2017,,2016-20
9936,GR IN,Greenway WTP Inlet,srp,Green In,6/5/2017,6/5/2017,,,0.243,,,,,,2017,,2016-20
9961,GR IN,Greenway WTP Inlet,srp,Green In,6/5/2017,6/5/2017,,,0.243,,,,,,2017,,2016-20
9986,GR IN,Greenway WTP Inlet,srp,Green In,7/3/2017,7/3/2017,,,0.555,,,,,,2017,,2016-20
10011,GR IN,Greenway WTP Inlet,srp,Green In,7/3/2017,7/3/2017,,,0.555,,,,,,2017,,2016-20
10036,GR IN,Greenway WTP Inlet,srp,Green In,8/7/2017,8/7/2017,,,0.781,,,,,,2017,,2016-20
10061,GR IN,Greenway WTP Inlet,srp,Green In,8/7/2017,8/7/2017,,,0.781,,,,,,2017,,2016-20
10086,GR IN,Greenway WTP Inlet,srp,Green In,9/4/2017,9/4/2017,,,0.363,,,,,,2017,,2016-20
10111,GR IN,Greenway WTP Inlet,srp,Green In,9/4/2017,9/4/2017,,,0.363,,,,,,2017,,2016-20
10136,GR IN,Greenway WTP Inlet,srp,Green In,10/2/2017,10/2/2017,,,0.377,,,,,,2017,,2016-20
10161,GR IN,Greenway WTP Inlet,srp,Green In,10/2/2017,10/2/2017,,,0.377,,,,,,2017,,2016-20
10186,GR IN,Greenway WTP Inlet,srp,Green In,11/6/2017,11/6/2017,,,0.702,,,,,,2017,,2016-20
10211,GR IN,Greenway WTP Inlet,srp,Green In,11/6/2017,11/6/2017,,,0.702,,,,,,2017,,2016-20
10236,GR IN,Greenway WTP Inlet,srp,Green In,12/4/2017,12/4/2017,,,0.258,,,,,,2017,,2016-20
10261,GR IN,Greenway WTP Inlet,srp,Green In,12/4/2017,12/4/2017,,,0.235,,,,,,2017,,2016-20
10286,GR IN,Greenway WTP Inlet,srp,Green In,1/8/2018,1/8/2018,,,,,,,,,2018,,2016-20
10311,GR IN,Greenway WTP Inlet,srp,Green In,1/8/2018,1/8/2018,,,,,,,,,2018,,2016-20
10336,GR IN,Greenway WTP Inlet,srp,Green In,2/5/2018,2/5/2018,,,,,,,,,2018,,2016-20
10361,GR IN,Greenway WTP Inlet,srp,Green In,2/5/2018,2/5/2018,,,,,,,,,2018,,2016-20
10386,GR IN,Greenway WTP Inlet,srp,Green In,3/5/2018,3/5/2018,,,,,,,,,2018,,2016-20
10411,GR IN,Greenway WTP Inlet,srp,Green In,3/5/2018,3/5/2018,,,N/A,,,,,,2018,,2016-20
10436,GR IN,Greenway WTP Inlet,srp,Green In,4/2/2018,4/2/2018,,,35.78,,,,,,2018,,2016-20
10461,GR IN,Greenway WTP Inlet,srp,Green In,4/2/2018,4/2/2018,,,35.78,,,,,,2018,,2016-20
10486,GR IN,Greenway WTP Inlet,srp,Green In,5/7/2018,5/7/2018,,,0.275,,,,,,2018,,2016-20
10511,GR IN,Greenway WTP Inlet,srp,Green In,5/7/2018,5/7/2018,,,0.275,,,,,,2018,,2016-20
10536,GR IN,Greenway WTP Inlet,srp,Green In,6/4/2018,6/4/2018,,,0.376,,,,,,2018,,2016-20
10561,GR IN,Greenway WTP Inlet,srp,Green In,6/4/2018,6/4/2018,,,0.376,,,,,,2018,,2016-20
10586,GR IN,Greenway WTP Inlet,srp,Green In,7/10/2018,7/10/2018,,,0.886,,,,,,2018,,2016-20
10611,GR IN,Greenway WTP Inlet,srp,Green In,7/10/2018,7/10/2018,,,0.886,,,,,,2018,,2016-20
10636,GR IN,Greenway WTP Inlet,srp,Green In,8/21/2018,8/21/2018,,,1.789,,,,,,2018,,2016-20
10661,GR IN,Greenway WTP Inlet,srp,Green In,8/21/2018,8/21/2018,,,1.789,,,,,,2018,,2016-20
10686,GR IN,Greenway WTP Inlet,srp,Green In,9/25/2018,9/25/2018,,,1.06,,,,,,2018,,2016-20
10711,GR IN,Greenway WTP Inlet,srp,Green In,9/25/2018,9/25/2018,,,1.06,,,,,,2018,,2016-20
10736,GR IN,Greenway WTP Inlet,srp,Green In,10/22/2018,10/22/2018,,,1.858,,,,,,2018,,2016-20
10761,GR IN,Greenway WTP Inlet,srp,Green In,10/22/2018,10/22/2018,,,1.858,,,,,,2018,,2016-20
10786,GR IN,Greenway WTP Inlet,srp,Green In,11/26/2018,11/26/2018,,,0.098,,,,,,2018,,2016-20
10811,GR IN,Greenway WTP Inlet,srp,Green In,11/26/2018,11/26/2018,,,0.098,,,,,,2018,,2016-20
10836,GR IN,Greenway WTP Inlet,srp,Green In,12/6/2018,12/6/2018,,,,,,,,,2018,,2016-20
10861,GR IN,Greenway WTP Inlet,srp,Green In,12/6/2018,12/6/2018,,,,,,,,,2018,,2016-20
10886,GR IN,Greenway WTP Inlet,srp,Green In,1/22/2019,1/22/2019,,,0.397,,,,,,2019,,2016-20
10911,GR IN,Greenway WTP Inlet,srp,Green In,1/22/2019,1/22/2019,,,0.397,,,,,,2019,,2016-20
10936,GR IN,Greenway WTP Inlet,srp,Green In,2/25/2019,2/25/2019,,,,,,,,,2019,,2016-20
10961,GR IN,Greenway WTP Inlet,srp,Green In,2/25/2019,2/25/2019,,,,,,,,,2019,,2016-20
10986,GR IN,Greenway WTP Inlet,srp,Green In,3/25/2019,3/25/2019,,,0.397,,,,,,2019,,2016-20
11011,GR IN,Greenway WTP Inlet,srp,Green In,3/25/2019,3/25/2019,,,0.397,,,,,,2019,,2016-20
11036,GR IN,Greenway WTP Inlet,srp,Green In,4/22/2019,4/22/2019,,,1.947,,,,,,2019,,2016-20
