N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year,Season
498,R1,CAP canal above Waddell Canal,cap,cap-siphon,2/20/2001,,,0.432,0.386,10.6,5.2,,,,,2001,2001-05,Winter
499,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/20/2001,,,0.334,0.306,2,2,,,,,2001,2001-05,Winter
500,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/20/2001,,,0.392,0.338,8,1.8,,,,,2001,2001-05,Winter
501,R3,Waddell Canal,cap,waddell canal,2/20/2001,,,0.42,0.384,3.4,1.4,,,,,2001,2001-05,Winter
502,R4,Cap Canal at 7th St.,cap,cap @ 7th st,2/22/2001,,,0.404,0.386,8.2,0,,,,,2001,2001-05,Winter
503,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2/22/2001,,,0.398,0.376,2.2,1,,,,,2001,2001-05,Winter
504,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2/20/2001,,,0.168,0.104,16,5.2,,,,,2001,2001-05,Winter
505,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/20/2001,,,0.208,0.162,11.6,4.6,,,,,2001,2001-05,Winter
506,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/20/2001,,,0.23,0.204,13.8,9.2,,,,,2001,2001-05,Winter
507,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2/20/2001,,,0.232,0.224,14,7.2,,,,,2001,2001-05,Winter
508,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2/21/2001,,,0.45,0.456,26.8,22.8,,,,,2001,2001-05,Winter
509,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/21/2001,,,0.392,0.356,17,11.4,,,,,2001,2001-05,Winter
