Solution Label,Sample ID,Sample type,Rack:Tube,Month,Type,Ag (328.068 nm) ppm,Ag,Al (167.019 nm) ppm,Al (396.152 nm) ppm,As (188.980 nm) ppm,As (193.696 nm) ppm,Ba (455.403 nm) ppm,Ba (ppm),Ba (493.408 nm) ppm,Be (234.861 nm) ppm,Be (313.042 nm) ppm,Bi (222.821 nm) ppm,Bi (223.061 nm) ppm,Ca (183.944 nm) ppm,Ca (317.933 nm) ppm,Ca (ppm),Cd (214.439 nm) ppm,Cd (226.502 nm) ppm,Co (228.615 nm) ppm,Co (238.892 nm) ppm,Cr (205.560 nm) ppm,Cr (267.716 nm) ppm,Cu (324.754 nm) ppm,Cu (327.395 nm) ppm,Cu (ppm),Fe (234.350 nm) ppm,Fe (238.204 nm) ppm,Fe (ppm),K (ppm),Li (ppm),Mg (ppm),Mn (257.610 nm) ppm,Mn (259.372 nm) ppm,Mn (ppm),Mo (202.032 nm) ppm,Mo (204.598 nm) ppm,Mo (ppm),Na (ppm),Ni (216.555 nm) ppm,Ni (231.604 nm) ppm,Ni (ppm),P (177.434 nm) ppm,P (213.618 nm) ppm,P (ppm),Pb (182.143 nm) ppm,Pb (220.353 nm) ppm,Sb (206.834 nm) ppm,Sb (217.582 nm) ppm,Se (ppm),Sr (407.771 nm) ppm,Sr (421.552 nm) ppm,Sr (ppm),Tl (190.794 nm) ppm,Tl (276.789 nm) ppm,V (ppm),Zn (202.548 nm) ppm,Zn (213.857 nm) ppm,Zn (ppm)
1,32111,R11,1:01,March,Sample, , , , ,  ,,0.12,0.239,0.119,0.001,0.001, , ,70.309,69.908,140.217, , , , , ,  ,0.016,0.013,0.029,  ,  ,  ,5.05,0.051,20.317, , ,,0.005,0.007,0.012,88.918, ,0.003,0.003,0.019,  ,0.019,  ,  ,  ,  ,  ,1.083,1.05,2.133,  , ,0.004,0.001,  ,0.001
2,32125,R25,1:02,March,Sample, ,, , ,  ,  ,0.045,0.091,0.046, , , , ,46.139,45.922,92.061, , , , ,  ,  ,0.028,0.025,0.053,  ,0.002,0.002,2.912,0.028,22.851,0.003,0.003,0.006,0.003,0.004,0.007,35.475, ,0.002,0.002,0.023,  ,0.023,  ,  ,  ,  ,  ,0.689,0.667,1.356,  , ,0.005,0.001,0.002,0.003
3,32145,R56,1:03,March,Sample, ,, , ,  ,  ,0.094,0.187,0.093, , ,  , ,61.353,61.23,122.583, , , , , , ,0.01,0.008,0.018,  ,0.002,0.002,6.199,0.093,19.261, , ,,0.003,0.005,0.008,135.412, ,0.002,0.002,0.132,0.103,0.235,  , ,  ,  ,0.017,0.866,0.841,1.707,  , ,0.004,0.025,0.026,0.051
4,42111,R11,1:04,April,Sample, ,, , ,  ,  ,0.118,0.235,0.117, , , , ,70.136,70.196,140.332, , , , , , ,0.023,0.019,0.042,  ,  ,  ,5.142,0.05,20.211, , ,,0.004,0.005,0.009,89.064, ,  ,  ,  , ,  ,  ,  ,  , , ,1.084,1.054,2.138,  , ,0.003, ,  ,
5,42125,R25,1:05,April,Sample, ,, , ,  ,  ,0.047,0.094,0.047, , , , ,46.47,46.495,92.965, , , , , ,  ,0.016,0.013,0.029,  ,0.002,0.002,3.106,0.028,22.824, , ,,0.003,  ,0.003,36.767, ,0.002,0.002,0.018, ,0.018,  ,  ,  ,  ,  ,0.703,0.682,1.385, , ,0.005,0.002,0.002,0.004
6,42156,R56,1:06,April,Sample, ,, , ,  ,  ,0.084,0.168,0.084, , , , ,56.359,56.383,112.742, , , , , , ,0.021,0.016,0.037, , , ,6.268,0.115,17.358, , ,,0.002,  ,0.002,160.029, ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,0.744,0.72,1.464,  , ,  , , ,
7,52111,R11,1:07,May,Sample, ,, , ,  ,  ,0.115,0.23,0.115, , , , ,67.284,67.677,134.961, , , , , , ,  ,0.002,0.002, , , ,5.043,0.049,20.068, , ,,0.004,0.005,0.009,89.951, ,0.002,0.002, , , ,  ,  ,  ,  ,0.017,1.061,1.033,2.094,  , ,0.003, , ,
8,52125,R25,1:08,May,Sample, ,, , ,  ,  ,0.046,0.092,0.046, , , , ,45.359,45.49,90.849, , , , , ,  ,0.051,0.048,0.099,0.003,0.003,0.006,3.05,0.028,22.713, , ,,0.003,  ,0.003,37.643, ,0.002,0.002,0.021, ,0.021,  ,  ,  , ,0.017,0.703,0.683,1.386,  , ,0.005, , ,
9,52156,R56,1:09,May,Sample, ,, , ,  ,  ,0.088,0.176,0.088, , ,  , ,54.044,54.202,108.246, , , , , ,  ,0.008,0.004,0.012, , ,,6.394,0.12,16.709, , ,,0.002,  ,0.002,167.374, ,0.002,0.002,0.023,  ,0.023,  ,  ,  ,  ,  ,0.721,0.701,1.422, , ,  , ,  ,
10,62111,R11,1:10,June,Sample, ,, , ,  ,  ,0.075,0.151,0.076, , ,  , ,47.553,47.818,95.371, , , , , , ,  ,0.003,0.003,0.005,0.005,0.01,7.327,0.169,13.558, , ,, , ,,217.23, ,  ,  ,  , ,  ,  ,  ,  ,  ,  ,0.508,0.496,1.004,  , ,  , , ,
